,location,number_of_accidents
0,"(33.3427, -118.3258)",2
1,"(33.7065, -118.2879)",1
2,"(33.7065, -118.2928)",20
3,"(33.7067, -118.2879)",4
4,"(33.707, -118.2901)",1
5,"(33.707, -118.2907)",7
6,"(33.707, -118.2912)",2
7,"(33.707, -118.2928)",1
8,"(33.707, -118.2929)",9
9,"(33.707, -118.2939)",16
10,"(33.7071, -118.288)",7
11,"(33.7079, -118.2863)",2
12,"(33.7079, -118.2879)",6
13,"(33.7079, -118.2901)",1
14,"(33.7079, -118.2907)",2
15,"(33.7079, -118.2912)",1
16,"(33.7079, -118.2929)",10
17,"(33.7087, -118.2929)",3
18,"(33.7088, -118.2855)",2
19,"(33.7088, -118.2879)",10
20,"(33.7088, -118.2907)",1
21,"(33.7088, -118.2916)",1
22,"(33.7089, -118.2855)",9
23,"(33.7096, -118.2856)",1
24,"(33.7096, -118.2862)",2
25,"(33.7096, -118.2867)",1
26,"(33.7096, -118.2879)",13
27,"(33.7096, -118.29)",1
28,"(33.7096, -118.2906)",4
29,"(33.7096, -118.2929)",7
30,"(33.7105, -118.286)",3
31,"(33.7106, -118.2871)",1
32,"(33.7106, -118.2879)",10
33,"(33.7106, -118.2907)",6
34,"(33.7106, -118.2929)",7
35,"(33.7108, -118.2985)",5
36,"(33.7109, -118.2994)",6
37,"(33.7111, -118.3005)",1
38,"(33.7113, -118.2929)",3
39,"(33.7113, -118.2932)",2
40,"(33.7113, -118.3014)",1
41,"(33.7115, -118.2879)",15
42,"(33.7115, -118.2889)",4
43,"(33.7115, -118.2907)",3
44,"(33.7115, -118.2928)",6
45,"(33.7115, -118.2929)",16
46,"(33.7116, -118.2874)",1
47,"(33.7116, -118.2879)",5
48,"(33.7116, -118.2981)",3
49,"(33.7119, -118.2981)",1
50,"(33.7121, -118.3033)",2
51,"(33.7124, -118.2889)",2
52,"(33.7125, -118.2916)",1
53,"(33.7128, -118.3052)",1
54,"(33.713, -118.3023)",4
55,"(33.7132, -118.3028)",1
56,"(33.7132, -118.3061)",1
57,"(33.7133, -118.2973)",1
58,"(33.7134, -118.2879)",7
59,"(33.7134, -118.2898)",1
60,"(33.7135, -118.307)",3
61,"(33.7136, -118.2904)",22
62,"(33.7138, -118.3046)",1
63,"(33.7139, -118.3046)",2
64,"(33.7141, -118.3089)",1
65,"(33.7142, -118.3055)",1
66,"(33.7143, -118.2916)",5
67,"(33.7143, -118.2929)",16
68,"(33.7143, -118.3044)",1
69,"(33.7144, -118.2997)",8
70,"(33.7147, -118.3112)",3
71,"(33.715, -118.3052)",3
72,"(33.7152, -118.2879)",5
73,"(33.7152, -118.2889)",2
74,"(33.7152, -118.2898)",2
75,"(33.7152, -118.2907)",4
76,"(33.7152, -118.2916)",1
77,"(33.7152, -118.2929)",8
78,"(33.7152, -118.3029)",1
79,"(33.7152, -118.3084)",1
80,"(33.7155, -118.3067)",1
81,"(33.7156, -118.3094)",1
